Sorter,Sorting Type,Array Size,Run Number,Duration (ns)
BubbleSortUntilNoChange,ALL_EQUAL,1000,2,0.11
BubbleSortUntilNoChange,ALL_EQUAL,1000,3,0.01
BubbleSortUntilNoChange,ALL_EQUAL,1000,4,0.01
BubbleSortUntilNoChange,ALL_EQUAL,1000,5,0.01
BubbleSortUntilNoChange,ALL_EQUAL,1000,6,0.01
BubbleSortUntilNoChange,ALL_EQUAL,1000,7,0.01
BubbleSortUntilNoChange,ALL_EQUAL,1000,8,0.02
BubbleSortUntilNoChange,ALL_EQUAL,1000,9,0.01
BubbleSortUntilNoChange,ALL_EQUAL,1000,10,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,1,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,2,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,3,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,4,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,5,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,6,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,7,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,8,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,9,0.01
BubbleSortUntilNoChange,ALL_EQUAL,5000,10,0.01
BubbleSortUntilNoChange,ALL_EQUAL,10000,1,0.02
BubbleSortUntilNoChange,ALL_EQUAL,10000,2,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,3,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,4,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,5,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,6,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,7,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,8,0.02
BubbleSortUntilNoChange,ALL_EQUAL,10000,9,0.03
BubbleSortUntilNoChange,ALL_EQUAL,10000,10,0.03
BubbleSortUntilNoChange,BLOCK_SORTED,1000,1,7.65
BubbleSortUntilNoChange,BLOCK_SORTED,1000,2,2.82
BubbleSortUntilNoChange,BLOCK_SORTED,1000,3,2.73
BubbleSortUntilNoChange,BLOCK_SORTED,1000,4,2.63
BubbleSortUntilNoChange,BLOCK_SORTED,1000,5,2.66
BubbleSortUntilNoChange,BLOCK_SORTED,1000,6,2.63
BubbleSortUntilNoChange,BLOCK_SORTED,1000,7,2.62
BubbleSortUntilNoChange,BLOCK_SORTED,1000,8,2.64
BubbleSortUntilNoChange,BLOCK_SORTED,1000,9,2.64
BubbleSortUntilNoChange,BLOCK_SORTED,1000,10,2.61
BubbleSortUntilNoChange,BLOCK_SORTED,5000,1,63.09
BubbleSortUntilNoChange,BLOCK_SORTED,5000,2,63.01
BubbleSortUntilNoChange,BLOCK_SORTED,5000,3,63.33
BubbleSortUntilNoChange,BLOCK_SORTED,5000,4,63.12
BubbleSortUntilNoChange,BLOCK_SORTED,5000,5,63.23
BubbleSortUntilNoChange,BLOCK_SORTED,5000,6,63.22
BubbleSortUntilNoChange,BLOCK_SORTED,5000,7,62.91
BubbleSortUntilNoChange,BLOCK_SORTED,5000,8,63.04
BubbleSortUntilNoChange,BLOCK_SORTED,5000,9,63.51
BubbleSortUntilNoChange,BLOCK_SORTED,5000,10,63.05
BubbleSortUntilNoChange,BLOCK_SORTED,10000,1,251.39
BubbleSortUntilNoChange,BLOCK_SORTED,10000,2,251.45
BubbleSortUntilNoChange,BLOCK_SORTED,10000,3,251.05
BubbleSortUntilNoChange,BLOCK_SORTED,10000,4,251.22
BubbleSortUntilNoChange,BLOCK_SORTED,10000,5,251.58
BubbleSortUntilNoChange,BLOCK_SORTED,10000,6,251.28
BubbleSortUntilNoChange,BLOCK_SORTED,10000,7,251.10
BubbleSortUntilNoChange,BLOCK_SORTED,10000,8,251.87
BubbleSortUntilNoChange,BLOCK_SORTED,10000,9,251.41
BubbleSortUntilNoChange,BLOCK_SORTED,10000,10,251.17
BubbleSortWhileNeeded,RANDOM,1000,1,10.20
BubbleSortWhileNeeded,RANDOM,1000,2,27.87
BubbleSortWhileNeeded,RANDOM,1000,3,2.35
BubbleSortWhileNeeded,RANDOM,1000,4,2.79
BubbleSortWhileNeeded,RANDOM,1000,5,2.41
BubbleSortWhileNeeded,RANDOM,1000,6,3.09
BubbleSortWhileNeeded,RANDOM,1000,7,2.95
BubbleSortWhileNeeded,RANDOM,1000,8,2.67
BubbleSortWhileNeeded,RANDOM,1000,9,2.43
BubbleSortWhileNeeded,RANDOM,1000,10,2.40
BubbleSortWhileNeeded,RANDOM,5000,1,47.94
BubbleSortWhileNeeded,RANDOM,5000,2,48.08
BubbleSortWhileNeeded,RANDOM,5000,3,47.37
BubbleSortWhileNeeded,RANDOM,5000,4,48.01
BubbleSortWhileNeeded,RANDOM,5000,5,46.26
BubbleSortWhileNeeded,RANDOM,5000,6,47.17
BubbleSortWhileNeeded,RANDOM,5000,7,47.97
BubbleSortWhileNeeded,RANDOM,5000,8,47.67
BubbleSortWhileNeeded,RANDOM,5000,9,47.27
BubbleSortWhileNeeded,RANDOM,5000,10,46.60
BubbleSortWhileNeeded,RANDOM,10000,1,404.69
BubbleSortWhileNeeded,RANDOM,10000,2,404.22
BubbleSortWhileNeeded,RANDOM,10000,3,407.39
BubbleSortWhileNeeded,RANDOM,10000,4,404.74
BubbleSortWhileNeeded,RANDOM,10000,5,403.63
BubbleSortWhileNeeded,RANDOM,10000,6,403.95
BubbleSortWhileNeeded,RANDOM,10000,7,405.12
BubbleSortWhileNeeded,RANDOM,10000,8,403.58
BubbleSortWhileNeeded,RANDOM,10000,9,404.30
BubbleSortWhileNeeded,RANDOM,10000,10,204.13
BubbleSortWhileNeeded,SORTED,1000,1,0.00
BubbleSortWhileNeeded,SORTED,1000,2,0.00
BubbleSortWhileNeeded,SORTED,1000,3,0.00
BubbleSortWhileNeeded,SORTED,1000,4,0.00
BubbleSortWhileNeeded,SORTED,1000,5,0.00
BubbleSortWhileNeeded,SORTED,1000,6,0.00
BubbleSortWhileNeeded,SORTED,1000,7,0.00
BubbleSortWhileNeeded,SORTED,1000,8,0.00
BubbleSortWhileNeeded,SORTED,1000,9,0.00
BubbleSortWhileNeeded,SORTED,1000,10,0.00
BubbleSortWhileNeeded,SORTED,5000,1,0.01
BubbleSortWhileNeeded,SORTED,5000,2,0.01
BubbleSortWhileNeeded,SORTED,5000,3,0.01
BubbleSortWhileNeeded,SORTED,5000,4,0.01
BubbleSortWhileNeeded,SORTED,5000,5,0.01
BubbleSortWhileNeeded,SORTED,5000,6,0.01
BubbleSortWhileNeeded,SORTED,5000,7,0.01
BubbleSortWhileNeeded,SORTED,5000,8,0.01
BubbleSortWhileNeeded,SORTED,5000,9,0.01
BubbleSortWhileNeeded,SORTED,5000,10,0.01
BubbleSortWhileNeeded,SORTED,10000,1,0.02
BubbleSortWhileNeeded,SORTED,10000,2,0.03
BubbleSortWhileNeeded,SORTED,10000,3,0.03
BubbleSortWhileNeeded,SORTED,10000,4,0.03
BubbleSortWhileNeeded,SORTED,10000,5,0.03
BubbleSortWhileNeeded,SORTED,10000,6,0.02
BubbleSortWhileNeeded,SORTED,10000,7,0.03
BubbleSortWhileNeeded,SORTED,10000,8,0.02
BubbleSortWhileNeeded,SORTED,10000,9,0.03
BubbleSortWhileNeeded,SORTED,10000,10,0.03
BubbleSortWhileNeeded,REVERSE_SORTED,1000,1,2.61
BubbleSortWhileNeeded,REVERSE_SORTED,1000,2,2.60
BubbleSortWhileNeeded,REVERSE_SORTED,1000,3,4.48
BubbleSortWhileNeeded,REVERSE_SORTED,1000,4,3.89
BubbleSortWhileNeeded,REVERSE_SORTED,1000,5,2.98
BubbleSortWhileNeeded,REVERSE_SORTED,1000,6,2.66
BubbleSortWhileNeeded,REVERSE_SORTED,1000,7,2.61
BubbleSortWhileNeeded,REVERSE_SORTED,1000,8,2.60
BubbleSortWhileNeeded,REVERSE_SORTED,1000,9,2.61
BubbleSortWhileNeeded,REVERSE_SORTED,1000,10,2.63
BubbleSortWhileNeeded,REVERSE_SORTED,5000,1,57.67
BubbleSortWhileNeeded,REVERSE_SORTED,5000,2,68.53
BubbleSortWhileNeeded,REVERSE_SORTED,5000,3,68.50
BubbleSortWhileNeeded,REVERSE_SORTED,5000,4,68.56
BubbleSortWhileNeeded,REVERSE_SORTED,5000,5,68.50
BubbleSortWhileNeeded,REVERSE_SORTED,5000,6,68.57
BubbleSortWhileNeeded,REVERSE_SORTED,5000,7,68.59
BubbleSortWhileNeeded,REVERSE_SORTED,5000,8,68.47
BubbleSortWhileNeeded,REVERSE_SORTED,5000,9,68.52
BubbleSortWhileNeeded,REVERSE_SORTED,5000,10,68.47
BubbleSortWhileNeeded,REVERSE_SORTED,10000,1,274.30
BubbleSortWhileNeeded,REVERSE_SORTED,10000,2,274.87
BubbleSortWhileNeeded,REVERSE_SORTED,10000,3,274.37
BubbleSortWhileNeeded,REVERSE_SORTED,10000,4,274.18
BubbleSortWhileNeeded,REVERSE_SORTED,10000,5,275.29
BubbleSortWhileNeeded,REVERSE_SORTED,10000,6,274.60
BubbleSortWhileNeeded,REVERSE_SORTED,10000,7,274.13
BubbleSortWhileNeeded,REVERSE_SORTED,10000,8,274.36
BubbleSortWhileNeeded,REVERSE_SORTED,10000,9,287.53
BubbleSortWhileNeeded,REVERSE_SORTED,10000,10,274.21
BubbleSortWhileNeeded,ALL_EQUAL,1000,1,0.10
BubbleSortWhileNeeded,ALL_EQUAL,1000,2,0.11
BubbleSortWhileNeeded,ALL_EQUAL,1000,3,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,4,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,5,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,6,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,7,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,8,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,9,0.01
BubbleSortWhileNeeded,ALL_EQUAL,1000,10,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,1,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,2,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,3,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,4,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,5,0.02
BubbleSortWhileNeeded,ALL_EQUAL,5000,6,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,7,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,8,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,9,0.01
BubbleSortWhileNeeded,ALL_EQUAL,5000,10,0.01
BubbleSortWhileNeeded,ALL_EQUAL,10000,1,0.02
BubbleSortWhileNeeded,ALL_EQUAL,10000,2,0.04
BubbleSortWhileNeeded,ALL_EQUAL,10000,3,0.03
BubbleSortWhileNeeded,ALL_EQUAL,10000,4,0.03
BubbleSortWhileNeeded,ALL_EQUAL,10000,5,0.03
BubbleSortWhileNeeded,ALL_EQUAL,10000,6,0.03
BubbleSortWhileNeeded,ALL_EQUAL,10000,7,0.02
BubbleSortWhileNeeded,ALL_EQUAL,10000,8,0.02
BubbleSortWhileNeeded,ALL_EQUAL,10000,9,0.03
BubbleSortWhileNeeded,ALL_EQUAL,10000,10,0.02
BubbleSortWhileNeeded,BLOCK_SORTED,1000,1,4.84
BubbleSortWhileNeeded,BLOCK_SORTED,1000,2,1.70
BubbleSortWhileNeeded,BLOCK_SORTED,1000,3,1.70
BubbleSortWhileNeeded,BLOCK_SORTED,1000,4,1.52
BubbleSortWhileNeeded,BLOCK_SORTED,1000,5,1.60
BubbleSortWhileNeeded,BLOCK_SORTED,1000,6,1.59
BubbleSortWhileNeeded,BLOCK_SORTED,1000,7,1.53
BubbleSortWhileNeeded,BLOCK_SORTED,1000,8,1.51
BubbleSortWhileNeeded,BLOCK_SORTED,1000,9,1.52
BubbleSortWhileNeeded,BLOCK_SORTED,1000,10,1.54
BubbleSortWhileNeeded,BLOCK_SORTED,5000,1,36.79
BubbleSortWhileNeeded,BLOCK_SORTED,5000,2,36.67
BubbleSortWhileNeeded,BLOCK_SORTED,5000,3,36.67
BubbleSortWhileNeeded,BLOCK_SORTED,5000,4,36.44
BubbleSortWhileNeeded,BLOCK_SORTED,5000,5,37.02
BubbleSortWhileNeeded,BLOCK_SORTED,5000,6,36.83
BubbleSortWhileNeeded,BLOCK_SORTED,5000,7,37.02
BubbleSortWhileNeeded,BLOCK_SORTED,5000,8,35.87
BubbleSortWhileNeeded,BLOCK_SORTED,5000,9,36.88
BubbleSortWhileNeeded,BLOCK_SORTED,5000,10,36.59
BubbleSortWhileNeeded,BLOCK_SORTED,10000,1,143.73
BubbleSortWhileNeeded,BLOCK_SORTED,10000,2,142.36
BubbleSortWhileNeeded,BLOCK_SORTED,10000,3,144.16
BubbleSortWhileNeeded,BLOCK_SORTED,10000,4,142.57
BubbleSortWhileNeeded,BLOCK_SORTED,10000,5,143.31
BubbleSortWhileNeeded,BLOCK_SORTED,10000,6,144.22
BubbleSortWhileNeeded,BLOCK_SORTED,10000,7,142.79
BubbleSortWhileNeeded,BLOCK_SORTED,10000,8,144.19
BubbleSortWhileNeeded,BLOCK_SORTED,10000,9,144.72
BubbleSortWhileNeeded,BLOCK_SORTED,10000,10,142.38
QuickSortGPT,RANDOM,1000,1,0.89
QuickSortGPT,RANDOM,1000,2,0.65
QuickSortGPT,RANDOM,1000,3,0.98
QuickSortGPT,RANDOM,1000,4,0.22
QuickSortGPT,RANDOM,1000,5,0.19
QuickSortGPT,RANDOM,1000,6,0.20
QuickSortGPT,RANDOM,1000,7,0.15
QuickSortGPT,RANDOM,1000,8,0.12
QuickSortGPT,RANDOM,1000,9,0.13
QuickSortGPT,RANDOM,1000,10,0.16
QuickSortGPT,RANDOM,5000,1,0.80
QuickSortGPT,RANDOM,5000,2,0.78
QuickSortGPT,RANDOM,5000,3,0.78
QuickSortGPT,RANDOM,5000,4,0.78
QuickSortGPT,RANDOM,5000,5,0.81
QuickSortGPT,RANDOM,5000,6,0.75
QuickSortGPT,RANDOM,5000,7,0.75
QuickSortGPT,RANDOM,5000,8,0.75
QuickSortGPT,RANDOM,5000,9,0.79
QuickSortGPT,RANDOM,5000,10,0.80
QuickSortGPT,RANDOM,10000,1,2.11
QuickSortGPT,RANDOM,10000,2,2.08
QuickSortGPT,RANDOM,10000,3,2.14
QuickSortGPT,RANDOM,10000,4,2.07
QuickSortGPT,RANDOM,10000,5,2.05
QuickSortGPT,RANDOM,10000,6,2.05
QuickSortGPT,RANDOM,10000,7,2.13
QuickSortGPT,RANDOM,10000,8,2.05
QuickSortGPT,RANDOM,10000,9,2.10
QuickSortGPT,RANDOM,10000,10,1.70
QuickSortGPT,SORTED,1000,1,2.70
QuickSortGPT,SORTED,1000,2,2.71
QuickSortGPT,SORTED,1000,3,3.05
QuickSortGPT,SORTED,1000,4,2.69
QuickSortGPT,SORTED,1000,5,2.68
QuickSortGPT,SORTED,1000,6,2.69
QuickSortGPT,SORTED,1000,7,2.70
QuickSortGPT,SORTED,1000,8,2.75
QuickSortGPT,SORTED,1000,9,2.69
QuickSortGPT,SORTED,1000,10,2.69
QuickSortGPT,SORTED,5000,1,65.81
QuickSortGPT,SORTED,5000,2,65.86
QuickSortGPT,SORTED,5000,3,65.69
QuickSortGPT,SORTED,5000,4,66.02
QuickSortGPT,SORTED,5000,5,66.76
QuickSortGPT,SORTED,5000,6,66.26
QuickSortGPT,SORTED,5000,7,65.59
QuickSortGPT,SORTED,5000,8,65.66
QuickSortGPT,SORTED,5000,9,65.88
QuickSortGPT,SORTED,5000,10,65.64
QuickSortGPT,SORTED,10000,1,284.77
QuickSortGPT,SORTED,10000,2,284.05
QuickSortGPT,SORTED,10000,3,283.67
QuickSortGPT,SORTED,10000,4,288.81
QuickSortGPT,SORTED,10000,5,283.99
QuickSortGPT,SORTED,10000,6,285.16
QuickSortGPT,SORTED,10000,7,285.18
QuickSortGPT,SORTED,10000,8,284.46
QuickSortGPT,SORTED,10000,9,284.53
QuickSortGPT,SORTED,10000,10,285.01
QuickSortGPT,REVERSE_SORTED,1000,1,1.72
QuickSortGPT,REVERSE_SORTED,1000,2,1.66
QuickSortGPT,REVERSE_SORTED,1000,3,2.70
QuickSortGPT,REVERSE_SORTED,1000,4,2.38
QuickSortGPT,REVERSE_SORTED,1000,5,1.97
QuickSortGPT,REVERSE_SORTED,1000,6,1.64
QuickSortGPT,REVERSE_SORTED,1000,7,1.65
QuickSortGPT,REVERSE_SORTED,1000,8,1.64
QuickSortGPT,REVERSE_SORTED,1000,9,1.65
QuickSortGPT,REVERSE_SORTED,1000,10,1.70
QuickSortGPT,REVERSE_SORTED,5000,1,47.81
QuickSortGPT,REVERSE_SORTED,5000,2,48.36
QuickSortGPT,REVERSE_SORTED,5000,3,48.40
QuickSortGPT,REVERSE_SORTED,5000,4,47.42
QuickSortGPT,REVERSE_SORTED,5000,5,47.80
QuickSortGPT,REVERSE_SORTED,5000,6,47.41
QuickSortGPT,REVERSE_SORTED,5000,7,47.21
QuickSortGPT,REVERSE_SORTED,5000,8,48.90
QuickSortGPT,REVERSE_SORTED,5000,9,47.27
QuickSortGPT,REVERSE_SORTED,5000,10,47.53
QuickSortGPT,REVERSE_SORTED,10000,1,190.91
QuickSortGPT,REVERSE_SORTED,10000,2,190.36
QuickSortGPT,REVERSE_SORTED,10000,3,192.88
QuickSortGPT,REVERSE_SORTED,10000,4,190.05
QuickSortGPT,REVERSE_SORTED,10000,5,191.87
QuickSortGPT,REVERSE_SORTED,10000,6,192.45
QuickSortGPT,REVERSE_SORTED,10000,7,191.17
QuickSortGPT,REVERSE_SORTED,10000,8,191.77
QuickSortGPT,REVERSE_SORTED,10000,9,192.97
QuickSortGPT,REVERSE_SORTED,10000,10,215.24
QuickSortGPT,ALL_EQUAL,1000,1,6.97
QuickSortGPT,ALL_EQUAL,1000,2,6.40
QuickSortGPT,ALL_EQUAL,1000,3,7.75
QuickSortGPT,ALL_EQUAL,1000,4,7.48
QuickSortGPT,ALL_EQUAL,1000,5,2.83
QuickSortGPT,ALL_EQUAL,1000,6,3.22
QuickSortGPT,ALL_EQUAL,1000,7,3.47
QuickSortGPT,ALL_EQUAL,1000,8,3.05
QuickSortGPT,ALL_EQUAL,1000,9,2.96
QuickSortGPT,ALL_EQUAL,1000,10,2.83
QuickSortGPT,ALL_EQUAL,5000,1,68.98
QuickSortGPT,ALL_EQUAL,5000,2,69.28
QuickSortGPT,ALL_EQUAL,5000,3,69.55
QuickSortGPT,ALL_EQUAL,5000,4,69.17
QuickSortGPT,ALL_EQUAL,5000,5,69.08
QuickSortGPT,ALL_EQUAL,5000,6,69.24
QuickSortGPT,ALL_EQUAL,5000,7,69.17
QuickSortGPT,ALL_EQUAL,5000,8,69.29
QuickSortGPT,ALL_EQUAL,5000,9,68.96
QuickSortGPT,ALL_EQUAL,5000,10,69.14
QuickSortGPT,ALL_EQUAL,10000,1,299.86
QuickSortGPT,ALL_EQUAL,10000,2,307.41
QuickSortGPT,ALL_EQUAL,10000,3,299.25
QuickSortGPT,ALL_EQUAL,10000,4,341.29
QuickSortGPT,ALL_EQUAL,10000,5,308.73
QuickSortGPT,ALL_EQUAL,10000,6,301.82
QuickSortGPT,ALL_EQUAL,10000,7,298.48
QuickSortGPT,ALL_EQUAL,10000,8,298.13
QuickSortGPT,ALL_EQUAL,10000,9,298.04
QuickSortGPT,ALL_EQUAL,10000,10,297.98
QuickSortGPT,BLOCK_SORTED,1000,1,0.86
QuickSortGPT,BLOCK_SORTED,1000,2,0.85
QuickSortGPT,BLOCK_SORTED,1000,3,0.86
QuickSortGPT,BLOCK_SORTED,1000,4,0.84
QuickSortGPT,BLOCK_SORTED,1000,5,0.84
QuickSortGPT,BLOCK_SORTED,1000,6,0.84
QuickSortGPT,BLOCK_SORTED,1000,7,0.84
QuickSortGPT,BLOCK_SORTED,1000,8,0.87
QuickSortGPT,BLOCK_SORTED,1000,9,0.86
QuickSortGPT,BLOCK_SORTED,1000,10,0.84
QuickSortGPT,BLOCK_SORTED,5000,1,19.41
QuickSortGPT,BLOCK_SORTED,5000,2,19.41
QuickSortGPT,BLOCK_SORTED,5000,3,19.41
QuickSortGPT,BLOCK_SORTED,5000,4,19.42
QuickSortGPT,BLOCK_SORTED,5000,5,19.46
QuickSortGPT,BLOCK_SORTED,5000,6,19.38
QuickSortGPT,BLOCK_SORTED,5000,7,19.42
QuickSortGPT,BLOCK_SORTED,5000,8,19.41
QuickSortGPT,BLOCK_SORTED,5000,9,19.42
QuickSortGPT,BLOCK_SORTED,5000,10,19.44
QuickSortGPT,BLOCK_SORTED,10000,1,78.31
QuickSortGPT,BLOCK_SORTED,10000,2,78.29
QuickSortGPT,BLOCK_SORTED,10000,3,79.21
QuickSortGPT,BLOCK_SORTED,10000,4,78.31
QuickSortGPT,BLOCK_SORTED,10000,5,78.20
QuickSortGPT,BLOCK_SORTED,10000,6,78.35
QuickSortGPT,BLOCK_SORTED,10000,7,78.28
QuickSortGPT,BLOCK_SORTED,10000,8,78.25
QuickSortGPT,BLOCK_SORTED,10000,9,78.38
QuickSortGPT,BLOCK_SORTED,10000,10,78.28
SelectionSortGPT,RANDOM,1000,1,7.17
SelectionSortGPT,RANDOM,1000,2,24.98
SelectionSortGPT,RANDOM,1000,3,13.37
SelectionSortGPT,RANDOM,1000,4,1.21
SelectionSortGPT,RANDOM,1000,5,1.49
SelectionSortGPT,RANDOM,1000,6,1.22
SelectionSortGPT,RANDOM,1000,7,1.24
SelectionSortGPT,RANDOM,1000,8,1.03
SelectionSortGPT,RANDOM,1000,9,1.02
SelectionSortGPT,RANDOM,1000,10,1.08
SelectionSortGPT,RANDOM,5000,1,18.73
SelectionSortGPT,RANDOM,5000,2,18.12
SelectionSortGPT,RANDOM,5000,3,18.12
SelectionSortGPT,RANDOM,5000,4,18.11
SelectionSortGPT,RANDOM,5000,5,18.10
SelectionSortGPT,RANDOM,5000,6,18.10
SelectionSortGPT,RANDOM,5000,7,18.11
SelectionSortGPT,RANDOM,5000,8,18.11
